"Name","Value"
"Schedule Name","Training250823"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","08/25/2023 20:23:21"
"Database","*DEFAULT"
"Schedule Run ID","255"
"Finalized","No"
"Record Count","140"
"Animal ID","00483"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","25082301"
"Schedule_Start_Time","2023-08-25T20:23:21.389"
"User","DB"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Interval","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Rewards","","0","1","Value","1","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2222","","0","","0","","0","","0"
"0","22","List Array - Write","RandomInterval","","0","5","Item #1","120","Item #2","180","Item #3","360","Item #4","720","Item #5","840"
"0","22","List Array - Write","RandomInterval","","0","5","Item #6","1320","Item #7","1380","Item #8","1620","Item #9","1800","Item #10","1860"
"0","22","List Array - Write","RandomInterval","","0","5","Item #11","2160","Item #12","2280","Item #13","2400","Item #14","2460","Item #15","2640"
"0","22","List Array - Write","RandomInterval","","0","5","Item #16","2940","Item #17","3180","Item #18","3300","Item #19","3480","Item #20","3540"
"0","22","List Array - Write","RandomInterval","","0","1","Item #21","3660","","0","","0","","0","","0"
"0","17","List Change - Set","RandomInterval","","0","2","Index","1","Value","120","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Training Start","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","29","Timer Event","_Trial_Timer","","1","1","Value","0","","0","","0","","0","","0"
"0.001","16","Variable Event","Interval","","1","1","Value","120","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"120.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"120.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"120.001","19","List Change - Next Value","RandomInterval","","2","2","Index","2","Value","180","","0","","0","","0"
"120.001","16","Variable Event","Interval","","2","1","Value","180","","0","","0","","0","","0"
"120.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"180.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"180.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"180.001","19","List Change - Next Value","RandomInterval","","2","2","Index","3","Value","360","","0","","0","","0"
"180.001","16","Variable Event","Interval","","2","1","Value","360","","0","","0","","0","","0"
"180.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"360.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"360.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"360.001","19","List Change - Next Value","RandomInterval","","2","2","Index","4","Value","720","","0","","0","","0"
"360.001","16","Variable Event","Interval","","2","1","Value","720","","0","","0","","0","","0"
"360.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"720.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"720.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"720.001","19","List Change - Next Value","RandomInterval","","2","2","Index","5","Value","840","","0","","0","","0"
"720.001","16","Variable Event","Interval","","2","1","Value","840","","0","","0","","0","","0"
"720.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"840.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"840.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"840.001","19","List Change - Next Value","RandomInterval","","2","2","Index","6","Value","1320","","0","","0","","0"
"840.001","16","Variable Event","Interval","","2","1","Value","1320","","0","","0","","0","","0"
"840.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1320.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1320.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"1320.001","19","List Change - Next Value","RandomInterval","","2","2","Index","7","Value","1380","","0","","0","","0"
"1320.001","16","Variable Event","Interval","","2","1","Value","1380","","0","","0","","0","","0"
"1320.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1348.097","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1348.217","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1348.817","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1351.335","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1356.862","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1357.837","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1380.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1380.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"1380.001","19","List Change - Next Value","RandomInterval","","2","2","Index","8","Value","1620","","0","","0","","0"
"1380.001","16","Variable Event","Interval","","2","1","Value","1620","","0","","0","","0","","0"
"1380.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1620.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1620.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"1620.001","19","List Change - Next Value","RandomInterval","","2","2","Index","9","Value","1800","","0","","0","","0"
"1620.001","16","Variable Event","Interval","","2","1","Value","1800","","0","","0","","0","","0"
"1620.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1800.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1800.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"1800.001","19","List Change - Next Value","RandomInterval","","2","2","Index","10","Value","1860","","0","","0","","0"
"1800.001","16","Variable Event","Interval","","2","1","Value","1860","","0","","0","","0","","0"
"1800.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1860.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1860.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"1860.001","19","List Change - Next Value","RandomInterval","","2","2","Index","11","Value","2160","","0","","0","","0"
"1860.001","16","Variable Event","Interval","","2","1","Value","2160","","0","","0","","0","","0"
"1860.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"2066.766","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2066.931","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2067.036","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2067.321","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2160.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"2160.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.222","","0","","0","","0","","0"
"2160.001","19","List Change - Next Value","RandomInterval","","2","2","Index","12","Value","2280","","0","","0","","0"
"2160.001","16","Variable Event","Interval","","2","1","Value","2280","","0","","0","","0","","0"
